Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
selenocysteine,foreign_amino_acid,Catalyzes the decomposition of L-selenocysteine to L-alanine and elemental selenium,,", SCLY",Amino acid metabolism,,"UniProt:Q96I15 PubMed:39260993,34885702,30535227,19036158,18318113 Reactome:R-HSA-352230 ",
pyrrolysine,foreign_amino_acid,Rare amino acid found in archaea and bacteria,,,Amino acid metabolism,,"PubMed:30587834,26123317,18318113 Reactome:R-HSA-352230 ",
hydroxyproline,foreign_amino_acid,Catalyzes the dehydration of trans-3-hydroxy-L-proline to Delta(1)-pyrroline-2-carboxylate (Pyr2C). May be required to degrade trans-3-hydroxy-L-proline from the diet and originating from the degradation of proteins such as collagen-IV that contain it,,", L3HYPDH",Amino acid metabolism,,UniProt:Q96EM0 PubMed:31208721 Reactome:R-HSA-352230 ,Trans-L-3-hydroxyproline dehydratase
hydroxylysine,foreign_amino_acid,Catalyzes the GTP-dependent phosphorylation of 5-hydroxy-L-lysine,,", HYKK",Amino acid metabolism,,UniProt:A2RU49 Reactome:R-HSA-352230 ,Aminoglycoside phosphotransferase domain-containing protein 1
gamma-carboxyglutamic acid,foreign_amino_acid,"Vitamin K-dependent modification, blood clotting",,", PRRG2",Hemostasis,,UniProt:O14669 Reactome:R-HSA-109582 ,Proline-rich gamma-carboxyglutamic acid protein 2
citrulline,foreign_amino_acid,"One of the enzymes of the urea cycle, the metabolic pathway transforming neurotoxic amonia produced by protein catabolism into inocuous urea in the liver of ureotelic animals. Catalyzes the formation of arginosuccinate from aspartate, citrulline and ATP and together with ASL it is responsible for the biosynthesis of arginine in most body tissues",,", ASS1",Amino acid metabolism,,"UniProt:P00966 PubMed:38415656,37778378,31952341,22584083,17558653 Reactome:R-HSA-352230 ",Citrulline--aspartate ligase
ornithine,foreign_amino_acid,Catalyzes the reversible interconversion of L-ornithine and 2-oxoglutarate to L-glutamate semialdehyde and L-glutamate,,", OAT",Amino acid metabolism,,"UniProt:P04181 PubMed:33529200,27129279,15144976 Reactome:R-HSA-352230 ","Ornithine delta-aminotransferase, Ornithine--oxo-acid aminotransferase"
taurine,foreign_amino_acid,"Mediates sodium- and chloride-dependent transport of taurine (PubMed:31345061, PubMed:31903486, PubMed:8010975, PubMed:8382624, PubMed:8654117). Mediates transport of beta-alanine (PubMed:8010975). Can also mediate transport of hypotaurine and gamma-aminobutyric acid (GABA) (By similarity)",,", SLC6A6",Amino acid metabolism,,UniProt:P31641 Reactome:R-HSA-352230 ,Solute carrier family 6 member 6
beta-alanine,foreign_amino_acid,"Catalyzes a late step in pyrimidine degradation (PubMed:22525402, PubMed:24526388). Converts N-carbamoyl-beta-alanine (3-ureidopropanoate) into beta-alanine, ammonia and carbon dioxide (PubMed:10415095, PubMed:10542323, PubMed:11508704, PubMed:22525402, PubMed:24526388, PubMed:29976570). Likewise, converts N-carbamoyl-beta-aminoisobutyrate (3-ureidoisobutyrate) into beta-aminoisobutyrate, ammonia and carbon dioxide (Probable)",,", UPB1",Amino acid metabolism,,"UniProt:Q9UBR1 PubMed:37542350,19421516,15276842,9565754,1629285 Reactome:R-HSA-352230 ","BUP-1, Beta-alanine synthase, N-carbamoyl-beta-alanine amidohydrolase"
gamma-aminobutyric acid,foreign_amino_acid,"Gamma subunit of the heteropentameric ligand-gated chloride channel gated by gamma-aminobutyric acid (GABA), a major inhibitory neurotransmitter in the brain (PubMed:10449790). GABA-gated chloride channels, also named GABA(A) receptors (GABAAR), consist of five subunits arranged around a central pore and contain GABA active binding site(s) located at the alpha and beta subunit interface(s) (By similarity). When activated by GABA, GABAARs selectively allow the flow of chloride anions across the cell membrane down their electrochemical gradient (PubMed:10449790). Chloride influx into the postsynaptic neuron following GABAAR opening decreases the neuron ability to generate a new action potential, thereby reducing nerve transmission (By similarity)",,", GABRG1",Neuronal System,,"UniProt:Q8N1C3 PubMed:35388521,34333373,26599496,16616430 Reactome:R-HSA-112316 ",GABA(A) receptor subunit gamma-1
dopamine,foreign_amino_acid,"Catalyzes the hydroxylation of dopamine to noradrenaline (also known as norepinephrine), and is thus vital for regulation of these neurotransmitters",,", DBH",Neuronal System,,UniProt:P09172 PubMed:29191406 Reactome:R-HSA-112316 ,Dopamine beta-monooxygenase
serotonin,foreign_amino_acid,"Controls the night/day rhythm of melatonin production in the pineal gland. Catalyzes the N-acetylation of serotonin into N-acetylserotonin, the penultimate step in the synthesis of melatonin",,", AANAT",Neuronal System,,UniProt:Q16613 Reactome:R-HSA-112316 ,Aralkylamine N-acetyltransferase
histamine,foreign_amino_acid,"G-protein-coupled receptor for histamine, a biogenic amine that functions as an immune modulator and a neurotransmitter (PubMed:33828102, PubMed:8280179). Through the H1 receptor, histamine mediates the contraction of smooth muscles and increases capillary permeability due to contraction of terminal venules. Also mediates neurotransmission in the central nervous system and thereby regulates circadian rhythms, emotional and locomotor activities as well as cognitive functions (By similarity)",,", HRH1",Innate Immune System,,"UniProt:P35367 PubMed:37959692,29191406 Reactome:R-HSA-168249 ",
carnosine,foreign_amino_acid,"N-methyltransferase that catalyzes the formation of anserine (beta-alanyl-N(Pi)-methyl-L-histidine) from carnosine. Anserine, a methylated derivative of carnosine (beta-alanyl-L-histidine), is an abundant constituent of vertebrate skeletal muscles. Also methylates other L-histidine-containing di- and tripeptides such as Gly-Gly-His, Gly-His and homocarnosine (GABA-His)",,", CARNMT1",Amino acid metabolism,,UniProt:Q8N4J0 Reactome:R-HSA-352230 ,
