Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
alanine,amino_acid,"Catalyzes a late step in pyrimidine degradation (PubMed:22525402, PubMed:24526388). Converts N-carbamoyl-beta-alanine (3-ureidopropanoate) into beta-alanine, ammonia and carbon dioxide (PubMed:10415095, PubMed:10542323, PubMed:11508704, PubMed:22525402, PubMed:24526388, PubMed:29976570). Likewise, converts N-carbamoyl-beta-aminoisobutyrate (3-ureidoisobutyrate) into beta-aminoisobutyrate, ammonia and carbon dioxide (Probable)",,", UPB1",Amino acid metabolism,,"UniProt:Q9UBR1 PubMed:40600665,40599406,40598260,40597677,40596988 Reactome:R-HSA-352230 ","BUP-1, Beta-alanine synthase, N-carbamoyl-beta-alanine amidohydrolase"
arginine,amino_acid,"Functions as an intracellular arginine sensor within the amino acid-sensing branch of the TORC1 signaling pathway (PubMed:26972053, PubMed:27487210, PubMed:33594058). As a homodimer or a heterodimer with CASTOR2, binds and inhibits the GATOR subcomplex GATOR2 and thereby mTORC1 (PubMed:26972053, PubMed:27487210, PubMed:33594058). Binding of arginine to CASTOR1 allosterically disrupts the interaction of CASTOR1-containing dimers with GATOR2 which can in turn activate mTORC1 and the TORC1 signaling pathway (PubMed:26972053, PubMed:27487210, PubMed:33594058)",,", CASTOR1",Amino acid metabolism,,"UniProt:Q8WTX7 PubMed:40601142,40601006,40597473,40596988,40596262 Reactome:R-HSA-352230 ","Cellular arginine sensor for mTORC1 protein 1, GATS-like protein 3"
asparagine,amino_acid,,,", ASNS",Amino acid metabolism,,"UniProt:P08243 PubMed:40593710,40565553,40540229,40531994,40509034 Reactome:R-HSA-352230 ","Cell cycle control protein TS11, Glutamine-dependent asparagine synthetase"
aspartic acid,amino_acid,"Protease responsible for filaggrin processing, essential for the maintenance of a proper epidermis organization",,", ASPRV1",Amino acid metabolism,,"UniProt:Q53RT3 PubMed:40595718,40584106,40570534,40566796,40560017 Reactome:R-HSA-352230 ","Skin-specific retroviral-like aspartic protease, TPA-inducible aspartic proteinase-like protein"
cysteine,amino_acid,"Catalyzes the last step in the trans-sulfuration pathway from L-methionine to L-cysteine in a pyridoxal-5'-phosphate (PLP)-dependent manner, which consists on cleaving the L,L-cystathionine molecule into L-cysteine, ammonia and 2-oxobutanoate (PubMed:10212249, PubMed:18476726, PubMed:19261609, PubMed:19961860). Part of the L-cysteine derived from the trans-sulfuration pathway is utilized for biosynthesis of the ubiquitous antioxidant glutathione (PubMed:18476726). Besides its role in the conversion of L-cystathionine into L-cysteine, it utilizes L-cysteine and L-homocysteine as substrates (at much lower rates than L,L-cystathionine) to produce the endogenous gaseous signaling molecule hydrogen sulfide (H2S) (PubMed:10212249, PubMed:19019829, PubMed:19261609, PubMed:19961860). In vitro, it converts two L-cysteine molecules into lanthionine and H2S, also two L-homocysteine molecules to homolanthionine and H2S, which can be particularly relevant under conditions of severe hyperhomocysteinemia (which is a risk factor for cardiovascular disease, diabetes, and Alzheimer's disease) (PubMed:19261609). Lanthionine and homolanthionine are structural homologs of L,L-cystathionine that differ by the absence or presence of an extra methylene group, respectively (PubMed:19261609). Acts as a cysteine-protein sulfhydrase by mediating sulfhydration of target proteins: sulfhydration consists of converting -SH groups into -SSH on specific cysteine residues of target proteins such as GAPDH, PTPN1 and NF-kappa-B subunit RELA, thereby regulating their function (PubMed:22169477). By generating the gasotransmitter H2S, it participates in a number of physiological processes such as vasodilation, bone protection, and inflammation (Probable) (PubMed:29254196). Plays an essential role in myogenesis by contributing to the biogenesis of H2S in skeletal muscle tissue (By similarity). Can also accept homoserine as substrate (By similarity). Catalyzes the elimination of selenocystathionine (which can be derived from the diet) to yield selenocysteine, ammonia and 2-oxobutanoate (By similarity)",,", CTH",Amino acid metabolism,,"UniProt:P32929 PubMed:40601178,40598894,40597922,40596396,40595693 Reactome:R-HSA-352230 ","Cysteine desulfhydrase, Cysteine-protein sulfhydrase, Gamma-cystathionase, Homocysteine desulfhydrase"
glutamic acid,amino_acid,"Appears to function as an adapter protein that bridges proteins together or proteins with mRNAs (PubMed:34331014). May function as a ubiquitin ligase-substrate adapter (PubMed:34331014, PubMed:34870550). Additionally, associates with translating cytoplasmic ribosomes and may promote the expression of specific mRNAs (PubMed:34331014, PubMed:34870550)",,", SH3BGRL",Amino acid metabolism,,"UniProt:O75368 PubMed:40596582,40596077,40595847,40595792,40595616 Reactome:R-HSA-352230 ",SH3 domain-binding glutamic acid-rich-like protein 1
glutamine,amino_acid,"Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine. Plays a role in maintaining acid-base homeostasis. Regulates the levels of the neurotransmitter glutamate, the main excitatory neurotransmitter in the brain (PubMed:30239721, PubMed:30575854, PubMed:30970188)",,", GLS",Amino acid metabolism,,"UniProt:O94925 PubMed:40598593,40596077,40595951,40594503,40593767 Reactome:R-HSA-352230 ","K-glutaminase, L-glutamine amidohydrolase"
glycine,amino_acid,"Subunit of heteromeric glycine-gated chloride channels (PubMed:11929858, PubMed:15302677, PubMed:16144831, PubMed:22715885, PubMed:23238346, PubMed:25445488, PubMed:34473954, PubMed:8717357). Plays an important role in the down-regulation of neuronal excitability (PubMed:11929858, PubMed:23238346). Contributes to the generation of inhibitory postsynaptic currents (PubMed:25445488)",,", GLRB",Amino acid metabolism,,"UniProt:P48167 PubMed:40600940,40598828,40598537,40597643,40597568 Reactome:R-HSA-352230 ",Glycine receptor 58 kDa subunit
histidine,amino_acid,Catalyzes the biosynthesis of histamine from histidine,,", HDC",Amino acid metabolism,,"UniProt:P19113 PubMed:40601006,40600951,40597991,40597620,40597568 Reactome:R-HSA-352230 ",
isoleucine,amino_acid,Aminoacyl-tRNA synthetase that catalyzes the specific attachment of isoleucine to its cognate tRNA (tRNA(Ile)),,", IARS2",Amino acid metabolism,,"UniProt:Q9NSE4 PubMed:40598613,40598537,40598206,40597922,40596988 Reactome:R-HSA-352230 ",Isoleucyl-tRNA synthetase
