Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
glucose-6-phosphate dehydrogenase,enzyme,"Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis. The main function of this enzyme is to provide reducing power (NADPH) and pentose phosphates for fatty acid and nucleic acid synthesis",,G6PD,Glucose metabolism,,"UniProt:P11413 PubMed:40597115,40592037,40586287,40568996,40527529 Reactome:R-HSA-70326 ",
hexokinase,enzyme,"Catalyzes the phosphorylation of various hexoses, such as D-glucose, D-glucosamine, D-fructose, D-mannose and 2-deoxy-D-glucose, to hexose 6-phosphate (D-glucose 6-phosphate, D-glucosamine 6-phosphate, D-fructose 6-phosphate, D-mannose 6-phosphate and 2-deoxy-D-glucose 6-phosphate, respectively) (PubMed:1637300, PubMed:25316723, PubMed:27374331). Does not phosphorylate N-acetyl-D-glucosamine (PubMed:27374331). Mediates the initial step of glycolysis by catalyzing phosphorylation of D-glucose to D-glucose 6-phosphate (By similarity). Involved in innate immunity and inflammation by acting as a pattern recognition receptor for bacterial peptidoglycan (PubMed:27374331). When released in the cytosol, N-acetyl-D-glucosamine component of bacterial peptidoglycan inhibits the hexokinase activity of HK1 and causes its dissociation from mitochondrial outer membrane, thereby activating the NLRP3 inflammasome (PubMed:27374331)",,HK1,Glucose metabolism,,"UniProt:P19367 PubMed:40600961,40592864,40582563,40580639,40578472 Reactome:R-HSA-70326 ","Brain form hexokinase, Hexokinase type I, Hexokinase-A"
pyruvate kinase,enzyme,"Pyruvate kinase that catalyzes the conversion of phosphoenolpyruvate to pyruvate with the synthesis of ATP, and which plays a key role in glycolysis",,PKLR,Glucose metabolism,,"UniProt:P30613 PubMed:40600961,40592459,40586287,40583280,40581232 Reactome:R-HSA-70326 ","Pyruvate kinase 1, Pyruvate kinase isozymes L/R, R-type/L-type pyruvate kinase, Red cell/liver pyruvate kinase"
lactate dehydrogenase,enzyme,"Involved in D-lactate, but not L-lactate catabolic process",,LDHD,Glucose metabolism,,"UniProt:Q86WU2 PubMed:40600698,40598234,40597710,40594457,40593465 Reactome:R-HSA-70326 ",
creatine kinase,enzyme,"Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate) (PubMed:8186255). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoa (Probable). Acts as a key regulator of adaptive thermogenesis as part of the futile creatine cycle: localizes to the mitochondria of thermogenic fat cells and acts by mediating phosphorylation of creatine to initiate a futile cycle of creatine phosphorylation and dephosphorylation (By similarity). During the futile creatine cycle, creatine and N-phosphocreatine are in a futile cycle, which dissipates the high energy charge of N-phosphocreatine as heat without performing any mechanical or chemical work (By similarity)",,CKB,Amino acid metabolism,,"UniProt:P12277 PubMed:40600548,40599787,40599005,40594000,40587712 Reactome:R-HSA-352230 ","Brain creatine kinase, Creatine kinase B chain, Creatine phosphokinase B-type"
alkaline phosphatase,enzyme,Alkaline phosphatase that can hydrolyze various phosphate compounds,,ALPI,Metabolism,,"UniProt:P09923 PubMed:40600570,40597402,40595830,40594712,40594298 Reactome:R-HSA-1430728 ",
aspartate aminotransferase,enzyme,"Biosynthesis of L-glutamate from L-aspartate or L-cysteine (PubMed:21900944). Important regulator of levels of glutamate, the major excitatory neurotransmitter of the vertebrate central nervous system. Acts as a scavenger of glutamate in brain neuroprotection. The aspartate aminotransferase activity is involved in hepatic glucose synthesis during development and in adipocyte glyceroneogenesis. Using L-cysteine as substrate, regulates levels of mercaptopyruvate, an important source of hydrogen sulfide. Mercaptopyruvate is converted into H(2)S via the action of 3-mercaptopyruvate sulfurtransferase (3MST). Hydrogen sulfide is an important synaptic modulator and neuroprotectant in the brain. In addition, catalyzes (2S)-2-aminobutanoate, a by-product in the cysteine biosynthesis pathway (PubMed:27827456)",,GOT1,Amino acid metabolism,,"UniProt:P17174 PubMed:40597690,40596430,40593942,40593078,40592783 Reactome:R-HSA-352230 ","Cysteine aminotransferase, cytoplasmic, Cysteine transaminase, cytoplasmic, Glutamate oxaloacetate transaminase 1, Transaminase A"
alanine aminotransferase,enzyme,"Peroxisomal aminotransferase that catalyzes the transamination of glyoxylate to glycine and contributes to the glyoxylate detoxification (PubMed:10960483, PubMed:12777626, PubMed:23229545, PubMed:24055001, PubMed:26149463). Also catalyzes the transamination between L-serine and pyruvate and contributes to gluconeogenesis from the L-serine metabolism (PubMed:10347152)",,AGXT,Amino acid metabolism,,"UniProt:P21549 PubMed:40597962,40597690,40596430,40596311,40594327 Reactome:R-HSA-352230 ",Serine--pyruvate aminotransferase
gamma-glutamyl transferase,enzyme,"Bifunctional enzyme that converts glutamate to glutamate 5-semialdehyde, an intermediate in the biosynthesis of proline, ornithine and arginine",,ALDH18A1,,,"UniProt:P54886 PubMed:40597962,40597690,40596237,40594956,40593695 ",Aldehyde dehydrogenase family 18 member A1
amylase,enzyme,"Calcium-binding enzyme that initiates starch digestion in the oral cavity (PubMed:12527308). Catalyzes the hydrolysis of internal (1->4)-alpha-D-glucosidic bonds, yielding a mixture of maltose, isomaltose, small amounts of glucose as well as small linear and branched oligosaccharides called dextrins (PubMed:12527308)",,AMY1C,,,"UniProt:P0DTE8 PubMed:40600557,40594883,40591640,40590050,40589478 ",
lipase,enzyme,"May function as inhibitor of dietary triglyceride digestion. Lacks detectable lipase activity towards triglycerides, diglycerides, phosphatidylcholine, galactolipids or cholesterol esters (in vitro) (By similarity)",,PNLIPRP1,,,"UniProt:P54315 PubMed:40598302,40597643,40597496,40597494,40597470 ",
trypsin,enzyme,"Has activity against the synthetic substrates Boc-Phe-Ser-Arg-Mec, Boc-Leu-Thr-Arg-Mec, Boc-Gln-Ala-Arg-Mec and Boc-Val-Pro-Arg-Mec. The single-chain form is more active than the two-chain form against all of these substrates",,PRSS1,,,"UniProt:P07477 PubMed:40596644,40594393,40582665,40578613,40578534 ","Anionic trypsin I, Anionic trypsin-I, Beta-trypsin, Cationic trypsinogen, Pretrypsinogen I, Trypsin I, Trypsin-1"
chymotrypsin,enzyme,Regulates activation and degradation of trypsinogens and procarboxypeptidases by targeting specific cleavage sites within their zymogen precursors. Has chymotrypsin-type protease activity and hypocalcemic activity,,CTRC,,,"UniProt:Q99895 PubMed:40572564,40571175,40558860,40557263,40540765 ",Caldecrin
pepsin,enzyme,"Shows particularly broad specificity; although bonds involving phenylalanine and leucine are preferred, many others are also cleaved to some extent",,PGA4,,,"UniProt:P0DJD7 PubMed:40597509,40582665,40581016,40577075,40572564 ",Pepsinogen-4
carbonic anhydrase,enzyme,Reversible hydration of carbon dioxide. Its role in saliva is unknown,,CA6,,,"UniProt:P23280 PubMed:40597064,40596146,40594585,40594151,40592644 ","Carbonate dehydratase VI, Carbonic anhydrase VI, Salivary carbonic anhydrase, Secreted carbonic anhydrase"
catalase,enzyme,"Catalyzes the degradation of hydrogen peroxide (H(2)O(2)) generated by peroxisomal oxidases to water and oxygen, thereby protecting cells from the toxic effects of hydrogen peroxide (PubMed:7882369). Promotes growth of cells including T-cells, B-cells, myeloid leukemia cells, melanoma cells, mastocytoma cells and normal and transformed fibroblast cells (PubMed:7882369)",,CAT,Detoxification of Reactive Oxygen Species,,"UniProt:P04040 PubMed:40599444,40598999,40597589,40597519,40596933 Reactome:R-HSA-3299685 ",
superoxide dismutase,enzyme,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,,SOD1,Detoxification of Reactive Oxygen Species,,"UniProt:P00441 PubMed:40600942,40599444,40599285,40598465,40598393 Reactome:R-HSA-3299685 ",Superoxide dismutase 1
glutathione peroxidase,enzyme,"Catalyzes the reduction of hydroperoxides in a glutathione-dependent manner thus regulating cellular redox homeostasis (PubMed:11115402, PubMed:36608588). Can reduce small soluble hydroperoxides such as H2O2, cumene hydroperoxide and tert-butyl hydroperoxide, as well as several fatty acid-derived hydroperoxides (PubMed:11115402, PubMed:36608588). In platelets catalyzes the reduction of 12-hydroperoxyeicosatetraenoic acid, the primary product of the arachidonate 12-lipoxygenase pathway (PubMed:11115402)",,GPX1,Detoxification of Reactive Oxygen Species,,"UniProt:P07203 PubMed:40599444,40598393,40597485,40596220,40595901 Reactome:R-HSA-3299685 ","Cellular glutathione peroxidase, Phospholipid-hydroperoxide glutathione peroxidase GPX1"
cytochrome oxidase,enzyme,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules unsing 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (PubMed:22902835). NDUFA4 is required for complex IV maintenance (PubMed:22902835)",,NDUFA4,Respiratory electron transport,,"UniProt:O00483 PubMed:40592826,40564930,40560843,40557110,40556747 Reactome:R-HSA-163200 ","Complex I-MLRQ, NADH-ubiquinone oxidoreductase MLRQ subunit"
ATP synthase,enzyme,"Subunit a, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (Probable). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). With the subunit c (ATP5MC1), forms the proton-conducting channel in the F(0) domain, that contains two crucial half-channels (inlet and outlet) that facilitate proton movement from the mitochondrial intermembrane space (IMS) into the matrix (PubMed:37244256). Protons are taken up via the inlet half-channel and released through the outlet half-channel, following a Grotthuss mechanism (PubMed:37244256)",,MT-ATP6,,,"UniProt:P00846 PubMed:40598871,40580838,40580270,40570323,40564127 ","F-ATPase protein 6, Proton-conducting channel, ATP synthase F(0) complex subunit a"
DNA polymerase,enzyme,Accessory component of the DNA polymerase epsilon complex (PubMed:10801849). Participates in DNA repair and in chromosomal DNA replication (By similarity),,POLE4,,,"UniProt:Q9NR33 PubMed:40599263,40599235,40597865,40596487,40595847 ","DNA polymerase II subunit 4, DNA polymerase epsilon subunit p12"
