Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
insulin,hormone,"Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver",,INS,Insulin processing,,"UniProt:P01308 PubMed:40600329,40600018,40598917,40598676,40598585 Reactome:R-HSA-264876 ",
glucagon,hormone,"Plays a key role in glucose metabolism and homeostasis. Regulates blood glucose by increasing gluconeogenesis and decreasing glycolysis. A counterregulatory hormone of insulin, raises plasma glucose levels in response to insulin-induced hypoglycemia. Plays an important role in initiating and maintaining hyperglycemic conditions in diabetes",,GCG,Glucagon signaling pathway,,"UniProt:P01275 PubMed:40597541,40597179,40594279,40593987,40592472 Reactome:R-HSA-163359 ",
testosterone,hormone,"Functions as an androgen transport protein, but may also be involved in receptor mediated processes. Each dimer binds one molecule of steroid. Specific for 5-alpha-dihydrotestosterone, testosterone, and 17-beta-estradiol. Regulates the plasma metabolic clearance rate of steroid hormones by controlling their plasma concentration",,SHBG,Androgen receptor signaling pathway,,"UniProt:P04278 PubMed:40598691,40597942,40597295,40597010,40595890 Reactome:R-HSA-193993 ","Sex steroid-binding protein, Testis-specific androgen-binding protein, Testosterone-estradiol-binding globulin, Testosterone-estrogen-binding globulin"
estrogen,hormone,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone (PubMed:11006110, PubMed:11884392, PubMed:7779757). Is a key enzyme in estrogen homeostasis, the sulfation of estrogens leads to their inactivation. Also sulfates dehydroepiandrosterone (DHEA), pregnenolone, (24S)-hydroxycholesterol and xenobiotic compounds like ethinylestradiol, equalenin, diethyl stilbesterol and 1-naphthol at significantly lower efficiency (PubMed:11006110, PubMed:19589875). Does not sulfonate cortisol, testosterone and dopamine (PubMed:11006110, PubMed:7779757). May play a role in gut microbiota-host metabolic interaction. O-sulfonates 4-ethylphenol (4-EP), a dietary tyrosine-derived metabolite produced by gut bacteria. The product 4-EPS crosses the blood-brain barrier and may negatively regulate oligodendrocyte maturation and myelination, affecting the functional connectivity of different brain regions associated with the limbic system",,SULT1E1,Estrogen-dependent gene expression,,"UniProt:P49888 PubMed:40600231,40599853,40597935,40597894,40596830 Reactome:R-HSA-8939211 ","EST-1, Estrogen sulfotransferase, Sulfotransferase, estrogen-preferring"
cortisol,hormone,Major transport protein for glucocorticoids and progestins in the blood of almost all vertebrate species,,SERPINA6,Glucocorticoid receptor pathway,,"UniProt:P08185 PubMed:40598676,40597594,40597247,40597059,40596833 Reactome:R-HSA-196071 ","Serpin A6, Transcortin"
thyroxine,hormone,Major thyroid hormone transport protein in serum,,SERPINA7,,,"UniProt:P05543 PubMed:40600010,40599024,40598574,40597059,40597049 ","Serpin A7, T4-binding globulin"
adrenaline,hormone,"Electrogenic voltage-dependent transporter that mediates the transport of a variety of endogenous bioactive amines, cationic xenobiotics and drugs (PubMed:15448143, PubMed:16099839, PubMed:16873718, PubMed:17018840, PubMed:17121826, PubMed:20592246, PubMed:20858707, PubMed:22396231, PubMed:31537831). Utilizes the physiologic inside-negative membrane potential as a driving force to facilitate cellular uptake of organic cations (PubMed:15448143, PubMed:20592246, PubMed:22396231). Functions as a Na(+)- and Cl(-)-independent bidirectional transporter (PubMed:15448143, PubMed:16099839, PubMed:22396231, PubMed:31537831). Substrate transport is pH-dependent and enhanced under acidic condition, which is most likely the result of allosteric changes in the transporter structure (PubMed:16873718, PubMed:17018840, PubMed:20592246, PubMed:22396231, PubMed:31537831). Implicated in monoamine neurotransmitters uptake such as serotonin, dopamine, adrenaline/epinephrine, noradrenaline/norepinephrine, histamine and tyramine, thereby supporting a role in homeostatic regulation of aminergic neurotransmission in the central nervous system (PubMed:15448143, PubMed:16099839, PubMed:17018840, PubMed:17121826, PubMed:20858707, PubMed:22396231). Also responsible for the uptake of bioactive amines and drugs through the blood-cerebrospinal fluid (CSF) barrier, from the CSF into choroid plexus epithelial cells, thereby playing a significant role in the clearance of cationic neurotoxins, xenobiotics and metabolic waste in the brain (By similarity). Involved in bidirectional transport of the purine nucleoside adenosine and plays a role in the regulation of extracellular adenosine concentrations in cardiac tissues, in particular during ischemia (PubMed:16873718, PubMed:20592246, PubMed:31537831). May be involved in organic cation uptake from the tubular lumen into renal tubular cells, thereby contributing to organic cation reabsorption in the kidney (PubMed:17018840). Also transports guanidine (PubMed:16099839)",,SLC29A4,"Adrenaline, noradrenaline and dopamine biosynthesis",,"UniProt:Q7RTT9 PubMed:40596326,40586905,40584511,40498670,40486646 Reactome:R-HSA-181438 ","Plasma membrane monoamine transporter, Solute carrier family 29 member 4"
noradrenaline,hormone,"Catalyzes the transmethylation of nonepinephrine (noradrenaline) to form epinephrine (adrenaline), using S-adenosyl-L-methionine as the methyl donor (PubMed:20496117). Other substrates include phenylethanolamine and octopamine (PubMed:16277617, PubMed:16363801, PubMed:8812853). Also methylates normetanephrine (By similarity)",,PNMT,"Adrenaline, noradrenaline and dopamine biosynthesis",,"UniProt:P11086 PubMed:40593679,40586905,40563433,40544565,40520658 Reactome:R-HSA-181438 ",Noradrenaline N-methyltransferase
melatonin,hormone,"High affinity receptor for melatonin. Likely to mediate the reproductive and circadian actions of melatonin. The activity of this receptor is mediated by pertussis toxin sensitive G proteins that inhibit adenylate cyclase activity. Possibly involved in sleep induction, by melatonin activation of the potassium channel KCNMA1/BK and the dissociation of G-beta and G-gamma subunits, thereby decreasing synaptic transmission (By similarity)",,MTNR1A,Melatonin biosynthesis,,"UniProt:P48039 PubMed:40599499,40598828,40598783,40598430,40592456 Reactome:R-HSA-1368082 ",
growth hormone,hormone,"Receptor for pituitary gland growth hormone (GH1) involved in regulating postnatal body growth (PubMed:1549776, PubMed:2825030, PubMed:8943276). On ligand binding, couples to the JAK2/STAT5 pathway (PubMed:1549776, PubMed:15690087, PubMed:2825030, PubMed:8943276)",,GHR,Developmental Biology,,"UniProt:P10912 PubMed:40600231,40600179,40600079,40599856,40599421 Reactome:R-HSA-1266738 ",Somatotropin receptor
