Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
hepatocyte,cell,"Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types (PubMed:20624990). Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization (PubMed:15167892, PubMed:20977675). Activates MAPK signaling following TMPRSS13 cleavage and activation (PubMed:20977675)",Liver,HGF,Metabolism,,"UniProt:P14210 PubMed:40600918,40598150,40597400,40595506,40595432 Reactome:R-HSA-1430728 ","Hepatopoietin-A, Scatter factor"
neuron,cell,Interacts with clathrin light chain A and stimulates clathrin self-assembly and clathrin-mediated endocytosis,"Brain, Nervous system",CALY,Neuronal System,,"UniProt:Q9NYX4 PubMed:40600649,40598603,40598533,40598228,40598174 Reactome:R-HSA-112316 ",
cardiomyocyte,cell,May play a role in cardiomyocyte proliferation through paracrine signaling and activation of the PPI3K-AKT-CDK7 signaling cascade,Heart,DIPK2A,Muscle contraction,,"UniProt:Q8NDZ4 PubMed:40600000,40599555,40598158,40595290,40593928 Reactome:R-HSA-397014 ","Deleted in autism protein 1, Golgi Protein of 49 kDa, Hypoxia and AKT-induced stem cell factor"
erythrocyte,cell,"Component of the ankyrin-1 complex, a multiprotein complex involved in the stability and shape of the erythrocyte membrane",Blood,EPB42,Erythrocytes take up carbon dioxide and release oxygen,,"UniProt:P16452 PubMed:40598222,40597704,40595875,40595589,40592982 Reactome:R-HSA-1247673 ",Erythrocyte membrane protein band 4.2
leukocyte,cell,,"Blood, Immune system",LENG1,Innate Immune System,,"UniProt:Q96BZ8 PubMed:40601150,40601026,40600428,40599791,40599790 Reactome:R-HSA-168249 ",
fibroblast,cell,"Tyrosine-protein kinase that acts as a cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of cell proliferation, differentiation, migration and apoptosis, and in the regulation of embryonic development. Required for normal embryonic patterning, trophoblast function, limb bud development, lung morphogenesis, osteogenesis and skin development. Plays an essential role in the regulation of osteoblast differentiation, proliferation and apoptosis, and is required for normal skeleton development. Promotes cell proliferation in keratinocytes and immature osteoblasts, but promotes apoptosis in differentiated osteoblasts. Phosphorylates PLCG1, FRS2 and PAK4. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. Phosphorylation of FRS2 triggers recruitment of GRB2, GAB1, PIK3R1 and SOS1, and mediates activation of RAS, MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. FGFR2 signaling is down-regulated by ubiquitination, internalization and degradation. Mutations that lead to constitutive kinase activation or impair normal FGFR2 maturation, internalization and degradation lead to aberrant signaling. Over-expressed FGFR2 promotes activation of STAT1",Connective tissue,FGFR2,Extracellular matrix organization,,"UniProt:P21802 PubMed:40600845,40600176,40600000,40599440,40598610 Reactome:R-HSA-1474244 ","K-sam, Keratinocyte growth factor receptor"
epithelial cell,cell,"Receptor tyrosine kinase which binds promiscuously membrane-bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Activated by the ligand ephrin-A1/EFNA1 regulates migration, integrin-mediated adhesion, proliferation and differentiation of cells. Regulates cell adhesion and differentiation through DSG1/desmoglein-1 and inhibition of the ERK1/ERK2 (MAPK3/MAPK1, respectively) signaling pathway. May also participate in UV radiation-induced apoptosis and have a ligand-independent stimulatory effect on chemotactic cell migration. During development, may function in distinctive aspects of pattern formation and subsequently in development of several fetal tissues. Involved for instance in angiogenesis, in early hindbrain development and epithelial proliferation and branching morphogenesis during mammary gland development. Engaged by the ligand ephrin-A5/EFNA5 may regulate lens fiber cells shape and interactions and be important for lens transparency development and maintenance. With ephrin-A2/EFNA2 may play a role in bone remodeling through regulation of osteoclastogenesis and osteoblastogenesis",Epithelial tissue,EPHA2,Extracellular matrix organization,,"UniProt:P29317 PubMed:40601158,40601149,40600933,40600533,40600505 Reactome:R-HSA-1474244 ","Epithelial cell kinase, Tyrosine-protein kinase receptor ECK"
endothelial cell,cell,"Tyrosine-protein kinase that acts as a cell-surface receptor for ANGPT1, ANGPT2 and ANGPT4 and regulates angiogenesis, endothelial cell survival, proliferation, migration, adhesion and cell spreading, reorganization of the actin cytoskeleton, but also maintenance of vascular quiescence. Has anti-inflammatory effects by preventing the leakage of pro-inflammatory plasma proteins and leukocytes from blood vessels. Required for normal angiogenesis and heart development during embryogenesis. Required for post-natal hematopoiesis. After birth, activates or inhibits angiogenesis, depending on the context. Inhibits angiogenesis and promotes vascular stability in quiescent vessels, where endothelial cells have tight contacts. In quiescent vessels, ANGPT1 oligomers recruit TEK to cell-cell contacts, forming complexes with TEK molecules from adjoining cells, and this leads to preferential activation of phosphatidylinositol 3-kinase and the AKT1 signaling cascades. In migrating endothelial cells that lack cell-cell adhesions, ANGT1 recruits TEK to contacts with the extracellular matrix, leading to the formation of focal adhesion complexes, activation of PTK2/FAK and of the downstream kinases MAPK1/ERK2 and MAPK3/ERK1, and ultimately to the stimulation of sprouting angiogenesis. ANGPT1 signaling triggers receptor dimerization and autophosphorylation at specific tyrosine residues that then serve as binding sites for scaffold proteins and effectors. Signaling is modulated by ANGPT2 that has lower affinity for TEK, can promote TEK autophosphorylation in the absence of ANGPT1, but inhibits ANGPT1-mediated signaling by competing for the same binding site. Signaling is also modulated by formation of heterodimers with TIE1, and by proteolytic processing that gives rise to a soluble TEK extracellular domain. The soluble extracellular domain modulates signaling by functioning as decoy receptor for angiopoietins. TEK phosphorylates DOK2, GRB7, GRB14, PIK3R1; SHC1 and TIE1",Blood vessels,TEK,Hemostasis,,"UniProt:Q02763 PubMed:40600186,40600176,40600052,40599721,40598910 Reactome:R-HSA-109582 ","Endothelial tyrosine kinase, Tunica interna endothelial cell kinase, Tyrosine kinase with Ig and EGF homology domains-2, Tyrosine-protein kinase receptor TEK, Tyrosine-protein kinase receptor TIE-2, p140 TEK"
adipocyte,cell,Lipid transport protein in adipocytes. Binds both long chain fatty acids and retinoic acid. Delivers long-chain fatty acids and retinoic acid to their cognate receptors in the nucleus,Adipose tissue,FABP4,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,"UniProt:P15090 PubMed:40596459,40593646,40587294,40583297,40581728 Reactome:R-HSA-163359 ","Adipocyte lipid-binding protein, Adipocyte-type fatty acid-binding protein, Fatty acid-binding protein 4"
osteocyte,cell,"Promotes renal phosphate excretion and inhibits intestinal phosphate absorption (PubMed:14962809, PubMed:19005008). Promotes bone mineralization by osteoblasts and cartilage mineralization by chondrocytes (PubMed:18162525, PubMed:19998030, PubMed:22766095). Regulates the mineralization of the extracellular matrix of the craniofacial complex, such as teeth, bone and cartilage (By similarity). Promotes dental pulp stem cell proliferation and differentiation (PubMed:22341070)",Bone,MEPE,Extracellular matrix organization,,"UniProt:Q9NQ76 PubMed:40593312,40542601,40517943,40457321,40438831 Reactome:R-HSA-1474244 ","Osteoblast/osteocyte factor 45, Osteoregulin"
